"EMAIL","PRENOM","NOM","SMS","ENTREPRISE","SECTEUR","VILLE","ADRESSE","TELEPHONE","SITE_WEB","NOTE_GOOGLE","NB_AVIS","AVIS_SANS_REPONSE","EMAIL_OBJET","EMAIL_CORPS","RELANCE_1_OBJET","RELANCE_1_CORPS","RELANCE_2_OBJET","RELANCE_2_CORPS"
"jean.leroy@drjeanleroy.fr","Jean","Leroy","+33687187599","Dr. Jean Leroy","Santé","Grenoble","110 rue de la Paix 22018 Grenoble","+33366357778","","3.7","491","279","Jean, 93 avis attendent votre réponse","Jean,\n\nVotre établissement Dr. Jean Leroy a 491 avis Google et 279 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Jean 👋","Jean, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Jean. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"stéphane.martin@électricitéstéphane.fr","Stéphane","Martin","+33677940659","Électricité Stéphane","Artisanat","Bordeaux","157 rue de la Paix 91277 Bordeaux","+33571128799","https://www.électricitéstéphane.fr","4.5","3150","2709","Stéphane, 61 avis attendent votre réponse","Stéphane,\n\nVotre établissement Électricité Stéphane a 3150 avis Google et 2709 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Stéphane 👋","Stéphane, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Stéphane. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"aurélie.bertrand@aubergeaurélie.fr","Aurélie","Bertrand","+33643978094","Auberge Aurélie","Hôtellerie","Nantes","72 rue de la Paix 82303 Nantes","+33472067673","","4.4","1669","1151","Aurélie, 89 avis attendent votre réponse","Aurélie,\n\nVotre établissement Auberge Aurélie a 1669 avis Google et 1151 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Aurélie 👋","Aurélie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Aurélie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nicolas.simon@laverienicolas.fr","Nicolas","Simon","+33622857578","Laverie Nicolas","Services","Strasbourg","56 rue de la Paix 86097 Strasbourg","+33523164790","https://www.laverienicolas.fr","4.1","1063","754","Nicolas, 77 avis attendent votre réponse","Nicolas,\n\nVotre établissement Laverie Nicolas a 1063 avis Google et 754 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nicolas 👋","Nicolas, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nicolas. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"sophie.vincent@lecomptoirsophie.fr","Sophie","Vincent","+33626242724","Le Comptoir Sophie","Restauration","Nice","53 rue de la Paix 89540 Nice","+33575680349","","4.3","3211","2344","Sophie, 91 avis attendent votre réponse","Sophie,\n\nVotre établissement Le Comptoir Sophie a 3211 avis Google et 2344 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Sophie 👋","Sophie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Sophie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"céline.richard@nettoyagecéline.fr","Céline","Richard","+33623523838","Nettoyage Céline","Services","Nantes","73 rue de la Paix 32543 Nantes","+33329303391","https://www.nettoyagecéline.fr","3.6","3764","3462","Céline, 62 avis attendent votre réponse","Céline,\n\nVotre établissement Nettoyage Céline a 3764 avis Google et 3462 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Céline 👋","Céline, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Céline. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"thomas.michel@lebistrotthomas.fr","Thomas","Michel","+33660473663","Le Bistrot Thomas","Restauration","Montpellier","103 rue de la Paix 32599 Montpellier","+33463030786","https://www.lebistrotthomas.fr","4.3","3006","1863","Thomas, 58 avis attendent votre réponse","Thomas,\n\nVotre établissement Le Bistrot Thomas a 3006 avis Google et 1863 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Thomas 👋","Thomas, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Thomas. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nathalie.garcia@peinturenathalie.fr","Nathalie","Garcia","+33632869818","Peinture Nathalie","Artisanat","Lille","23 rue de la Paix 33518 Lille","+33243959315","","3.8","1002","851","Nathalie, 62 avis attendent votre réponse","Nathalie,\n\nVotre établissement Peinture Nathalie a 1002 avis Google et 851 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nathalie 👋","Nathalie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nathalie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"françois.petit@hôtelfrançois.fr","François","Petit","+33642147005","Hôtel François","Hôtellerie","Genève","160 rue de la Paix 89831 Genève","+33463544726","https://www.hôtelfrançois.fr","4.0","778","700","François, 94 avis attendent votre réponse","François,\n\nVotre établissement Hôtel François a 778 avis Google et 700 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, François 👋","François, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain François. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"sophie.robert@barbiersophie.fr","Sophie","Robert","+33621801901","Barbier Sophie","Beauté","Lille","21 rue de la Paix 63072 Lille","+33527547731","https://www.barbiersophie.fr","4.4","1183","851","Sophie, 70 avis attendent votre réponse","Sophie,\n\nVotre établissement Barbier Sophie a 1183 avis Google et 851 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Sophie 👋","Sophie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Sophie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"stéphane.laurent@garagestéphane.fr","Stéphane","Laurent","+33611361774","Garage Stéphane","Automobile","Paris","39 rue de la Paix 11857 Paris","+33576739151","","4.0","3949","3040","Stéphane, 94 avis attendent votre réponse","Stéphane,\n\nVotre établissement Garage Stéphane a 3949 avis Google et 3040 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Stéphane 👋","Stéphane, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Stéphane. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"michel.bertrand@laveriemichel.fr","Michel","Bertrand","+33689673073","Laverie Michel","Services","Bordeaux","182 rue de la Paix 32118 Bordeaux","+33413234532","https://www.laveriemichel.fr","4.1","2799","2267","Michel, 90 avis attendent votre réponse","Michel,\n\nVotre établissement Laverie Michel a 2799 avis Google et 2267 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Michel 👋","Michel, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Michel. Offre toujours disponible : https://replyshield.io/essai-gratuit"
